Student_ID,Gender,Faculty,Semester/Year,Attendance (%),Assignment Completion (%),Internal Marks (out of 50),Previous Term Marks (%),Project/Practical Score (%),Study Hours per Week,Parental Education,Parental Support,Internet Access,Extra-curricular,Engagement_Score,Improvement,Final Grade,Final_Grade_Encoded
S113,Female,Management,5,90,65,39,66,92,33,Medium,Yes,No,Medium,77.5,22.5,A,4
S114,Female,Management,6,44,48,42,65,29,30,Low,No,Yes,Low,46.0,25.75,C,2
S115,Male,Science,8,61,89,2,48,50,6,Medium,Yes,Yes,Medium,75.0,-10.0,F,0
S116,Female,Management,6,41,65,15,53,61,29,Medium,No,Yes,Low,53.0,1.75,D,1
S117,Male,Science,2,34,35,31,29,96,17,High,Yes,No,Low,34.5,23.75,D,1
S118,Female,Engineering,3,93,70,37,39,88,15,Low,Yes,Yes,Low,81.5,27.25,C,2
S119,Female,Management,1,100,30,8,53,78,12,Low,Yes,No,High,65.0,-5.25,D,1
S120,Male,Management,5,56,30,40,32,57,32,Medium,Yes,Yes,High,43.0,32.0,C,2
S121,Female,Humanities,1,74,82,37,29,62,6,High,No,Yes,High,78.0,29.75,C,2
S122,Male,Engineering,2,64,72,4,64,21,29,Low,Yes,Yes,Low,68.0,-12.0,F,0
S123,Female,Engineering,4,55,77,0,97,25,10,High,No,Yes,Low,66.0,-24.25,D,1
S124,Male,Humanities,7,52,38,34,27,96,5,Medium,Yes,Yes,Medium,45.0,27.25,D,1
S125,Male,Humanities,5,42,51,34,24,48,20,Medium,Yes,No,High,46.5,28.0,D,1
S126,Female,Science,2,32,69,11,39,97,31,Low,Yes,No,Low,50.5,1.25,F,0
S127,Female,Science,8,58,91,35,63,49,4,Medium,Yes,No,Medium,74.5,19.25,C,2
S128,Male,Management,3,95,74,20,99,59,28,High,No,Yes,Medium,84.5,-4.75,C,2
S129,Female,Management,7,93,95,47,77,56,34,High,Yes,No,High,94.0,27.75,A,4
S130,Female,Management,5,57,60,42,39,26,11,Medium,No,Yes,High,58.5,32.25,D,1
S131,Female,Management,5,65,89,7,90,69,36,Medium,No,Yes,High,77.0,-15.5,D,1
S132,Male,Science,8,35,40,26,93,37,21,High,Yes,Yes,Low,37.5,2.75,C,2
S133,Male,Engineering,6,40,45,8,59,27,10,Medium,Yes,Yes,Low,42.5,-6.75,F,0
S134,Male,Management,4,67,20,27,35,90,22,Medium,No,Yes,High,43.5,18.25,D,1
S135,Male,Engineering,5,63,100,29,23,74,9,Medium,Yes,No,Medium,81.5,23.25,D,1
S136,Male,Management,4,96,46,13,29,67,23,High,No,No,Low,71.0,5.750000000000001,D,1
S137,Male,Humanities,2,75,69,22,70,93,15,Medium,Yes,Yes,Low,72.0,4.5,C,2
S138,Male,Management,3,58,85,28,67,77,11,High,Yes,Yes,High,71.5,11.25,C,2
S139,Male,Management,7,89,84,25,95,35,31,Low,Yes,No,Low,86.5,1.25,B,3
S140,Male,Management,7,83,29,21,39,44,23,Medium,No,Yes,High,56.0,11.25,C,2
S141,Female,Science,3,98,56,14,51,48,3,Medium,Yes,No,Low,77.0,1.25,D,1
S142,Male,Humanities,5,38,88,50,85,27,32,Medium,Yes,No,Medium,63.0,28.75,B,3
S143,Female,Management,5,39,60,8,79,74,17,Low,Yes,No,Low,49.5,-11.75,D,1
S144,Female,Management,2,97,65,25,30,71,16,Medium,No,No,High,81.0,17.5,D,1
S145,Female,Engineering,6,87,96,16,39,96,20,High,Yes,Yes,Medium,91.5,6.25,D,1
S146,Male,Humanities,6,81,64,8,42,45,0,Medium,No,Yes,Medium,72.5,-2.5,D,1
S147,Male,Management,6,63,46,2,96,44,24,High,Yes,Yes,High,54.5,-22.0,D,1
S148,Male,Engineering,4,64,84,15,54,92,30,High,No,Yes,Medium,74.0,1.5,D,1
S149,Male,Engineering,6,62,27,12,36,45,19,High,Yes,No,Low,44.5,3.0,F,0
S150,Female,Science,3,61,86,25,29,95,25,High,Yes,No,Medium,73.5,17.75,C,2
S151,Male,Engineering,7,84,68,16,57,66,18,High,Yes,No,Medium,76.0,1.7500000000000018,C,2
S152,Male,Management,7,37,33,31,97,20,29,Medium,No,Yes,Medium,35.0,6.75,C,2
S153,Male,Science,4,75,81,23,51,83,24,Medium,No,Yes,Low,78.0,10.25,C,2
S154,Male,Science,2,43,62,35,73,31,35,Medium,Yes,No,Medium,52.5,16.75,C,2
S155,Male,Management,3,37,46,21,76,43,17,High,Yes,Yes,Low,41.5,2.0,C,2
S156,Female,Humanities,7,100,46,8,44,49,3,Low,No,No,Medium,73.0,-3.0,D,1
S157,Male,Engineering,3,83,87,21,33,33,26,Medium,Yes,Yes,High,85.0,12.75,D,1
S158,Female,Science,7,50,94,40,64,42,32,Medium,Yes,Yes,Low,72.0,24.0,C,2
S159,Male,Humanities,1,43,67,49,63,21,5,Medium,No,No,Low,55.0,33.25,C,2
S160,Female,Management,2,31,86,45,57,22,6,High,No,Yes,Low,58.5,30.75,C,2
S161,Male,Engineering,2,90,44,19,55,25,0,Medium,Yes,No,Medium,67.0,5.249999999999998,D,1
S162,Male,Engineering,8,46,83,2,58,40,37,High,No,No,Low,64.5,-12.499999999999998,F,0
S163,Female,Science,1,77,43,35,58,39,34,Medium,Yes,No,High,60.0,20.5,C,2
S164,Female,Engineering,4,37,28,32,32,40,22,Medium,Yes,Yes,High,32.5,24.0,D,1
S165,Female,Engineering,7,85,27,17,85,59,15,High,Yes,No,Medium,56.0,-4.25,C,2
S166,Male,Engineering,8,46,78,35,53,87,33,High,No,Yes,Low,62.0,21.75,C,2
S167,Female,Engineering,7,98,36,9,34,44,33,Medium,Yes,Yes,Medium,67.0,0.5,F,0
S168,Male,Management,7,41,62,35,77,90,30,High,Yes,No,High,51.5,15.75,B,3
S169,Male,Humanities,6,67,87,20,78,90,30,High,No,Yes,Medium,77.0,0.5,C,2
S170,Female,Management,6,47,23,24,85,52,10,High,No,Yes,High,35.0,2.75,C,2
S171,Female,Management,6,55,27,48,71,70,7,Low,No,No,High,41.0,30.25,B,3
S172,Male,Science,6,66,61,39,88,100,23,High,No,Yes,Medium,63.5,17.0,B,3
S173,Male,Engineering,6,99,68,50,24,91,22,High,No,No,High,83.5,44.0,A,4
S174,Female,Management,1,70,25,8,62,98,31,Low,No,Yes,High,47.5,-7.5,D,1
S175,Female,Engineering,2,71,92,47,27,39,14,High,No,Yes,High,81.5,40.25,C,2
S176,Female,Management,4,70,61,26,97,38,27,Low,No,No,Low,65.5,1.75,C,2
S177,Male,Management,3,76,91,14,82,90,19,Medium,Yes,No,High,83.5,-6.5,C,2
S178,Male,Science,6,43,51,31,87,75,13,Medium,Yes,No,Medium,47.0,9.25,C,2
S179,Male,Humanities,1,30,34,47,54,75,25,Medium,No,No,Low,32.0,33.5,C,2
S180,Male,Humanities,8,46,88,43,90,20,36,High,Yes,Yes,Low,67.0,20.5,B,3
S181,Male,Management,8,84,46,49,51,58,1,Low,Yes,No,Medium,65.0,36.25,B,3
S182,Male,Science,7,82,85,38,43,56,33,Medium,Yes,No,High,83.5,27.25,C,2
S183,Female,Engineering,4,60,78,15,69,37,33,High,Yes,Yes,Medium,69.0,-2.25,D,1
S184,Male,Engineering,8,91,47,27,78,91,33,Medium,No,No,Medium,69.0,7.5,B,3
S185,Male,Management,4,37,43,50,84,98,8,Medium,No,Yes,High,40.0,29.0,A,4
S186,Male,Humanities,4,59,70,5,57,25,2,Medium,No,Yes,High,64.5,-9.249999999999998,F,0
S187,Female,Science,1,95,40,5,57,41,29,High,No,Yes,Low,67.5,-9.249999999999998,F,0
S188,Male,Humanities,3,74,50,37,40,30,18,Low,Yes,Yes,Low,62.0,27.0,D,1
S189,Male,Engineering,6,47,94,46,42,91,30,Low,No,Yes,High,70.5,35.5,C,2
S190,Female,Humanities,4,74,69,1,65,28,15,Low,Yes,No,High,71.5,-15.25,F,0
S191,Male,Engineering,1,48,59,40,88,32,23,Low,No,No,Medium,53.5,18.0,A,4
S192,Male,Science,7,97,87,39,49,22,14,High,No,Yes,High,92.0,26.75,B,3
S193,Male,Science,2,79,35,6,59,86,21,High,Yes,Yes,High,57.0,-8.75,D,1
S194,Male,Management,7,54,95,26,89,26,31,High,Yes,Yes,High,74.5,3.75,C,2
S195,Male,Management,1,67,82,27,88,86,10,Medium,Yes,No,High,74.5,5.0,C,2
S196,Female,Humanities,1,65,75,15,61,94,28,Low,No,Yes,High,70.0,-0.25,C,2
S197,Female,Science,1,97,99,46,37,65,23,High,No,No,Medium,98.0,36.75,B,3
S198,Female,Science,4,85,43,8,78,77,18,Medium,Yes,No,High,64.0,-11.5,D,1
S199,Male,Management,1,68,47,14,32,47,4,Medium,No,No,Medium,57.5,6.0,F,0
S200,Male,Engineering,2,92,50,33,40,50,40,Medium,Yes,Yes,Medium,71.0,23.0,C,2
S201,Male,Humanities,4,36,34,19,87,71,37,Low,Yes,No,Low,35.0,-2.75,D,1
S202,Female,Humanities,7,87,61,13,96,28,0,High,No,No,Medium,74.0,-11.0,C,2
S203,Male,Management,2,88,69,10,96,95,29,Medium,No,Yes,Low,78.5,-14.0,C,2
S204,Male,Science,8,77,24,29,96,27,11,High,Yes,Yes,High,50.5,5.0,C,2
S205,Female,Management,5,34,67,2,80,37,3,Medium,No,No,Low,50.5,-18.0,F,0
S206,Male,Management,7,65,32,1,57,68,14,Medium,No,No,High,48.5,-13.249999999999998,D,1
S207,Female,Management,1,54,51,49,59,30,16,High,Yes,No,High,52.5,34.25,B,3
S208,Female,Management,6,74,86,13,46,21,11,Medium,Yes,No,Low,80.0,1.5,D,1
S209,Female,Engineering,6,48,98,28,77,48,0,Medium,Yes,Yes,Medium,73.0,8.75,C,2
S210,Male,Engineering,4,36,49,4,95,74,12,Medium,No,No,High,42.5,-19.75,D,1
S211,Male,Science,6,87,25,43,85,72,29,Low,No,No,Low,56.0,21.75,A,4
S212,Male,Management,7,95,44,45,62,45,9,Medium,Yes,Yes,Medium,69.5,29.5,B,3
S213,Male,Engineering,4,68,47,5,39,70,35,Low,No,Yes,Medium,57.5,-4.75,F,0
S214,Male,Science,7,47,81,7,54,97,5,Low,No,No,High,64.0,-6.5,F,0
S215,Male,Management,1,30,41,38,74,25,8,High,No,No,Medium,35.5,19.5,C,2
S216,Male,Humanities,3,92,87,38,93,31,1,Low,Yes,No,Medium,89.5,14.75,A,4
S217,Female,Engineering,3,32,34,43,91,53,5,Medium,Yes,Yes,High,33.0,20.25,B,3
S218,Male,Science,2,50,45,28,59,89,10,Low,No,No,Medium,47.5,13.25,C,2
S219,Female,Humanities,1,59,82,38,65,83,25,High,Yes,Yes,Low,70.5,21.75,B,3
S220,Male,Management,6,40,37,43,98,56,27,High,No,Yes,Medium,38.5,18.5,B,3
S221,Male,Management,1,51,92,26,61,56,12,Medium,Yes,Yes,Low,71.5,10.75,D,1
S222,Male,Management,5,86,82,15,37,27,37,Low,No,Yes,Medium,84.0,5.75,D,1
S223,Female,Engineering,3,32,81,26,34,56,11,Low,Yes,No,High,56.5,17.5,D,1
S224,Female,Science,6,59,87,38,85,65,18,High,No,No,Medium,73.0,16.75,B,3
S225,Female,Humanities,7,74,67,39,32,50,17,High,Yes,No,Low,70.5,31.0,D,1
S226,Female,Science,7,65,69,0,76,30,18,High,No,Yes,Medium,67.0,-19.0,D,1
S227,Male,Engineering,3,93,82,44,28,55,27,High,No,Yes,High,87.5,37.0,C,2
S228,Female,Science,1,83,88,50,85,87,11,High,Yes,No,Medium,85.5,28.75,A,4
S229,Male,Engineering,6,97,25,32,35,36,31,Low,No,Yes,Medium,61.0,23.25,C,2
S230,Male,Management,2,79,77,49,21,35,12,Low,Yes,No,Low,78.0,43.75,B,3
S231,Female,Humanities,7,60,70,38,35,49,22,Low,No,Yes,Medium,65.0,29.25,C,2
S232,Female,Management,1,58,31,26,91,58,35,Medium,No,Yes,Low,44.5,3.25,C,2
S233,Female,Science,2,88,66,16,20,63,29,Medium,No,No,High,77.0,11.0,D,1
S234,Female,Management,8,65,28,14,45,88,21,Medium,Yes,Yes,Medium,46.5,2.75,D,1
S235,Female,Humanities,6,96,26,21,63,56,37,Low,No,Yes,High,61.0,5.25,C,2
S236,Female,Management,3,40,48,18,24,45,2,Low,No,No,High,44.0,12.0,F,0
S237,Female,Humanities,8,40,97,27,40,40,8,Medium,Yes,No,Low,68.5,17.0,D,1
S238,Female,Humanities,5,55,70,22,54,38,14,Low,No,Yes,Medium,62.5,8.5,D,1
S239,Male,Management,8,82,74,35,73,30,29,High,Yes,Yes,Low,78.0,16.75,B,3
S240,Female,Engineering,4,43,78,48,69,38,25,Medium,Yes,No,Low,60.5,30.75,B,3
S241,Female,Science,3,93,75,38,63,88,29,Low,No,Yes,Low,84.0,22.25,B,3
S242,Male,Engineering,2,39,41,47,23,21,4,High,No,Yes,Medium,40.0,41.25,D,1
S243,Female,Engineering,1,60,37,48,61,44,30,Medium,No,Yes,Low,48.5,32.75,B,3
S244,Male,Management,8,65,77,19,60,49,21,Low,No,Yes,High,71.0,4.0,D,1
S245,Male,Science,7,39,59,46,55,36,40,Low,Yes,No,Medium,49.0,32.25,C,2
S246,Female,Science,6,55,50,8,43,37,14,High,No,No,High,52.5,-2.75,F,0
S247,Male,Engineering,8,49,75,22,24,99,34,Medium,No,No,Low,62.0,16.0,D,1
S248,Male,Management,3,73,54,44,76,95,18,Low,Yes,Yes,Low,63.5,25.0,A,4
S249,Male,Science,7,91,45,6,86,59,33,High,Yes,No,High,68.0,-15.5,D,1
S250,Male,Engineering,7,38,87,30,30,25,17,Low,Yes,No,High,62.5,22.5,D,1
S251,Female,Science,5,100,53,50,64,62,13,Low,No,No,Low,76.5,34.0,A,4
S252,Male,Management,6,53,95,10,41,89,21,Medium,No,No,Medium,74.0,-0.25,D,1
S253,Female,Management,8,41,35,39,30,36,23,Medium,No,Yes,Medium,38.0,31.5,D,1
S254,Male,Management,2,89,61,16,57,61,12,Low,No,No,Low,75.0,1.7500000000000018,D,1
S255,Male,Science,6,45,24,35,78,38,7,Low,Yes,No,Low,34.5,15.5,C,2
S256,Male,Humanities,8,58,80,25,23,74,1,Medium,No,Yes,High,69.0,19.25,D,1
S257,Male,Science,6,61,63,35,86,48,26,Low,Yes,No,High,62.0,13.5,C,2
S258,Female,Humanities,1,64,54,17,29,73,33,Low,No,Yes,Low,59.0,9.75,F,0
S259,Female,Management,4,72,20,30,38,90,28,Low,No,Yes,Low,46.0,20.5,C,2
S260,Male,Engineering,8,82,62,48,47,27,25,High,No,No,Low,72.0,36.25,C,2
S261,Male,Humanities,7,49,51,34,36,27,22,High,Yes,No,High,50.0,25.0,D,1
S262,Female,Management,2,37,82,40,43,88,35,Medium,Yes,No,Low,59.5,29.25,C,2
S263,Male,Management,8,71,52,27,20,62,8,Low,No,No,Low,61.5,22.0,D,1
S264,Male,Humanities,8,99,96,25,24,69,20,Low,No,Yes,High,97.5,19.0,D,1
S265,Male,Engineering,1,45,85,5,51,23,35,High,Yes,Yes,High,65.0,-7.75,F,0
S266,Female,Management,7,98,49,33,72,55,2,Medium,Yes,No,Medium,73.5,15.0,C,2
S267,Female,Humanities,4,82,29,27,100,24,6,Medium,No,No,High,55.5,2.0,B,3
S268,Female,Engineering,1,74,42,43,76,38,22,Low,No,No,Medium,58.0,24.0,B,3
S269,Male,Engineering,4,80,58,46,62,61,31,Low,No,Yes,Medium,69.0,30.5,B,3
S270,Male,Management,4,35,64,8,58,34,22,High,No,Yes,Low,49.5,-6.499999999999998,F,0
S271,Female,Science,4,62,48,28,53,77,15,High,No,Yes,Low,55.0,14.75,C,2
S272,Female,Science,1,44,49,33,97,33,4,Medium,No,No,High,46.5,8.75,C,2
S273,Female,Management,6,43,53,11,99,67,12,High,No,Yes,Low,48.0,-13.75,D,1
S274,Female,Engineering,8,68,71,15,24,91,9,High,No,No,High,69.5,9.0,D,1
S275,Male,Management,4,92,100,6,37,92,1,Medium,No,No,Low,96.0,-3.25,D,1
S276,Female,Humanities,6,34,41,30,23,94,15,Medium,Yes,Yes,Medium,37.5,24.25,D,1
S277,Male,Science,8,81,24,32,89,82,0,Medium,Yes,No,Medium,52.5,9.75,A,4
S278,Female,Humanities,7,45,30,6,30,74,5,Low,Yes,Yes,Low,37.5,-1.5,F,0
S279,Male,Management,8,67,51,2,66,51,18,Low,No,Yes,High,59.0,-14.5,D,1
S280,Female,Management,7,82,43,19,100,55,32,High,Yes,Yes,Medium,62.5,-6.0,C,2
S281,Female,Engineering,2,82,30,4,50,94,27,High,Yes,No,Low,56.0,-8.5,D,1
S282,Female,Engineering,5,75,30,2,32,76,4,High,Yes,Yes,High,52.5,-6.0,F,0
S283,Female,Engineering,6,44,36,46,42,63,11,Low,Yes,No,Low,40.0,35.5,C,2
